date,year,season,RONI
1984-02,1984,JFM,-0.3
1984-03,1984,FMA,-0.3
1984-04,1984,MAM,-0.5
1984-05,1984,AMJ,-0.6
1984-06,1984,MJJ,-0.4
1984-07,1984,JJA,-0.2
1984-08,1984,JAS,-0.1
1984-09,1984,ASO,-0.1
1984-10,1984,SON,-0.5
1984-11,1984,OND,-0.8
1984-12,1984,NDJ,-1.0
1985-01,1985,DJF,-0.8
1985-02,1985,JFM,-0.6
1985-03,1985,FMA,-0.6
1985-04,1985,MAM,-0.7
1985-05,1985,AMJ,-0.7
1985-06,1985,MJJ,-0.5
1985-07,1985,JJA,-0.4
1985-08,1985,JAS,-0.3
1985-09,1985,ASO,-0.2
1985-10,1985,SON,-0.2
1985-11,1985,OND,-0.1
1985-12,1985,NDJ,-0.2
1986-01,1986,DJF,-0.3
1986-02,1986,JFM,-0.3
1986-03,1986,FMA,-0.2
1986-04,1986,MAM,-0.1
1986-05,1986,AMJ,-0.1
1986-06,1986,MJJ,-0.1
1986-07,1986,JJA,0.3
1986-08,1986,JAS,0.6
1986-09,1986,ASO,0.9
1986-10,1986,SON,1.2
1986-11,1986,OND,1.4
1986-12,1986,NDJ,1.5
1987-01,1987,DJF,1.6
1987-02,1987,JFM,1.5
1987-03,1987,FMA,1.3
1987-04,1987,MAM,1.0
1987-05,1987,AMJ,0.9
1987-06,1987,MJJ,1.1
1987-07,1987,JJA,1.3
1987-08,1987,JAS,1.6
1987-09,1987,ASO,1.5
1987-10,1987,SON,1.3
1987-11,1987,OND,1.0
1987-12,1987,NDJ,0.9
1988-01,1988,DJF,0.7
1988-02,1988,JFM,0.3
1988-03,1988,FMA,-0.2
1988-04,1988,MAM,-0.7
1988-05,1988,AMJ,-1.4
1988-06,1988,MJJ,-1.7
1988-07,1988,JJA,-1.6
1988-08,1988,JAS,-1.3
1988-09,1988,ASO,-1.4
1988-10,1988,SON,-1.6
1988-11,1988,OND,-1.9
1988-12,1988,NDJ,-1.9
1989-01,1989,DJF,-1.7
1989-02,1989,JFM,-1.4
1989-03,1989,FMA,-1.1
1989-04,1989,MAM,-0.8
1989-05,1989,AMJ,-0.6
1989-06,1989,MJJ,-0.4
1989-07,1989,JJA,-0.3
1989-08,1989,JAS,-0.3
1989-09,1989,ASO,-0.2
1989-10,1989,SON,-0.2
1989-11,1989,OND,-0.1
1989-12,1989,NDJ,0.0
1990-01,1990,DJF,0.2
1990-02,1990,JFM,0.3
1990-03,1990,FMA,0.3
1990-04,1990,MAM,0.3
1990-05,1990,AMJ,0.2
1990-06,1990,MJJ,0.2
1990-07,1990,JJA,0.3
1990-08,1990,JAS,0.4
1990-09,1990,ASO,0.4
